SampleID,Genus,Reads,FileID,Type,Region
DNA_1,Alternaria,5805.0,DNA_1,Symptomatic,North
DNA_10,Alternaria,10146.0,DNA_10,Asymptomatic,North
DNA_11,Alternaria,11755.0,DNA_11,Symptomatic,South
DNA_12,Alternaria,5349.0,DNA_12,Asymptomatic,South
DNA_13,Alternaria,11597.0,DNA_13,Symptomatic,East
DNA_14,Alternaria,4214.0,DNA_14,Asymptomatic,East
DNA_15,Alternaria,31731.0,DNA_15,Symptomatic,West
DNA_16,Alternaria,15290.0,DNA_16,Asymptomatic,West
DNA_17,Alternaria,27257.0,DNA_17,Symptomatic,Central
DNA_2,Alternaria,1114.0,DNA_2,Asymptomatic,North
DNA_3,Alternaria,3166.0,DNA_3,Symptomatic,South
DNA_4,Alternaria,681.0,DNA_4,Asymptomatic,South
DNA_5,Alternaria,1061.0,DNA_5,Symptomatic,East
DNA_6,Alternaria,11624.0,DNA_6,Asymptomatic,East
DNA_7,Alternaria,8983.0,DNA_7,Symptomatic,West
DNA_8,Alternaria,9382.0,DNA_8,Asymptomatic,West
DNA_9,Alternaria,12261.0,DNA_9,Symptomatic,North
DNA_1,Fusarium,3600.0,DNA_1,Symptomatic,North
DNA_10,Fusarium,5173.0,DNA_10,Asymptomatic,North
DNA_11,Fusarium,14552.0,DNA_11,Symptomatic,South
DNA_12,Fusarium,10744.0,DNA_12,Asymptomatic,South
DNA_13,Fusarium,39689.0,DNA_13,Symptomatic,East
DNA_14,Fusarium,5086.0,DNA_14,Asymptomatic,East
DNA_15,Fusarium,24206.0,DNA_15,Symptomatic,West
DNA_16,Fusarium,44695.0,DNA_16,Asymptomatic,West
DNA_17,Fusarium,12859.0,DNA_17,Symptomatic,Central
DNA_2,Fusarium,1246.0,DNA_2,Asymptomatic,North
DNA_3,Fusarium,16139.0,DNA_3,Symptomatic,South
DNA_4,Fusarium,57729.0,DNA_4,Asymptomatic,South
DNA_5,Fusarium,6392.0,DNA_5,Symptomatic,East
DNA_6,Fusarium,1019.0,DNA_6,Asymptomatic,East
DNA_7,Fusarium,2212.0,DNA_7,Symptomatic,West
DNA_8,Fusarium,14013.0,DNA_8,Asymptomatic,West
DNA_9,Fusarium,10862.0,DNA_9,Symptomatic,North
